Av1,Is_mA,IRB_mA,Ic_2E_mA,RE_1E,RC_1E,RBuffer,RVBE_BUFFER,RE_2E,RC_2E,Av2,Av_total
10,0.5,1.0,5.000000000000001,2033.263510954335,60000.0,14470.0,4000.0,2787.9999999999995,29295.469870459758,10.07,100.67701995848286
12,0.5,1.0,5.000000000000001,1533.263510954335,60000.0,14470.0,4000.0,2787.9999999999995,24471.458849157745,8.39,100.67955788700942
6,0.5,1.0,5.5,4033.263510954335,60000.0,14470.0,4000.0,2534.5454545454545,44256.73924826068,16.78,100.66411601880444
8,0.5,1.0,5.5,2783.263510954335,60000.0,14470.0,4000.0,2534.5454545454545,33227.596424444215,12.58,100.67248935671228
10,0.5,1.0,5.5,2033.263510954335,60000.0,14470.0,4000.0,2534.5454545454545,26633.92837553089,10.07,100.67677304298486
12,0.5,1.0,5.5,1533.263510954335,60000.0,14470.0,4000.0,2534.5454545454545,22248.048531230896,8.39,100.67941903471005
6,0.5,1.0,6.0,4033.263510954335,60000.0,14470.0,4000.0,2323.333333333333,40572.34399415059,16.78,100.66389174548806
8,0.5,1.0,6.0,2783.263510954335,60000.0,14470.0,4000.0,2323.333333333333,30460.848340749842,12.58,100.67210110149668
10,0.5,1.0,6.0,2033.263510954335,60000.0,14470.0,4000.0,2323.333333333333,24416.04701255659,10.07,100.67662090557783
12,0.5,1.0,6.0,1533.263510954335,60000.0,14470.0,4000.0,2323.333333333333,20395.274119744397,8.39,100.67960142926475
6,0.5,1.0,6.500000000000001,4033.263510954335,60000.0,14470.0,4000.0,2144.6153846153843,37454.77597833253,16.78,100.66367933742421
8,0.5,1.0,6.500000000000001,2783.263510954335,60000.0,14470.0,4000.0,2144.6153846153843,28119.857575057846,12.58,100.67212924355177
10,0.5,1.0,6.500000000000001,2033.263510954335,60000.0,14470.0,4000.0,2144.6153846153843,22539.38068717999,10.07,100.67646891094594
12,0.5,1.0,6.500000000000001,1533.263510954335,60000.0,14470.0,4000.0,2144.6153846153843,18827.55659799536,8.39,100.67939096825879
6,0.5,1.0,7.000000000000001,4033.263510954335,60000.0,14470.0,4000.0,1991.428571428571,34782.48914523927,16.78,100.66295330169443
8,0.5,1.0,7.000000000000001,2783.263510954335,60000.0,14470.0,4000.0,1991.428571428571,26113.28705116927,12.58,100.67183088218019
10,0.5,1.0,7.000000000000001,2033.263510954335,60000.0,14470.0,4000.0,1991.428571428571,20930.83726385449,10.07,100.67643634996162
12,0.5,1.0,7.000000000000001,1533.263510954335,60000.0,14470.0,4000.0,1991.428571428571,17483.801202364935,8.39,100.67935550745251
6,0.5,1.0,7.5,4033.263510954335,60000.0,14470.0,4000.0,1858.6666666666667,32466.686722873983,16.78,100.66273278911736
8,0.5,1.0,7.5,2783.263510954335,60000.0,14470.0,4000.0,1858.6666666666667,24374.26059750155,12.58,100.67170064187971
10,0.5,1.0,7.5,2033.263510954335,60000.0,14470.0,4000.0,1858.6666666666667,19536.709758168647,10.07,100.67596981105463
12,0.5,1.0,7.5,1533.263510954335,60000.0,14470.0,4000.0,1858.6666666666667,16319.19990722551,8.39,100.67899600800672
6,0.5,1.0,8.0,4033.263510954335,60000.0,14470.0,4000.0,1742.5,30440.320474583943,16.78,100.6623102902677
8,0.5,1.0,8.0,2783.263510954335,60000.0,14470.0,4000.0,1742.5,22852.55591494734,12.58,100.67117428204153
10,0.5,1.0,8.0,2033.263510954335,60000.0,14470.0,4000.0,1742.5,18316.873433100092,10.07,100.67582158903336
12,0.5,1.0,8.0,1533.263510954335,60000.0,14470.0,4000.0,1742.5,15300.181464271069,8.39,100.67911913366896
6,0.5,1.0,8.5,4033.263510954335,60000.0,14470.0,4000.0,1639.9999999999998,28652.326578120505,16.78,100.66219375218891
8,0.5,1.0,8.5,2783.263510954335,60000.0,14470.0,4000.0,1639.9999999999998,21509.973176585558,12.58,100.67084538304151
10,0.5,1.0,8.5,2033.263510954335,60000.0,14470.0,4000.0,1639.9999999999998,17240.64791475836,10.07,100.6760016493217
12,0.5,1.0,8.5,1533.263510954335,60000.0,14470.0,4000.0,1639.9999999999998,14401.048941640609,8.39,100.67882265664663
